V1,Date,CodRes,PM2.5,Cod,ano,month
1543,2023-03-28,ID_3123528,8.807206154,3123528,2023,3
1544,2023-03-29,ID_3123528,6.650959015,3123528,2023,3
1545,2023-03-30,ID_3123528,5.721646786,3123528,2023,3
1546,2023-03-31,ID_3123528,5.703424931,3123528,2023,3
1547,2023-04-01,ID_3123528,7.124725819,3123528,2023,4
1548,2023-04-02,ID_3123528,11.15781879,3123528,2023,4
1549,2023-04-03,ID_3123528,8.278773308,3123528,2023,4
1550,2023-04-04,ID_3123528,7.03361702,3123528,2023,4
1551,2023-04-05,ID_3123528,7.817154408,3123528,2023,4
1552,2023-04-06,ID_3123528,7.817154408,3123528,2023,4
1553,2023-04-07,ID_3123528,7.665306091,3123528,2023,4
1554,2023-04-08,ID_3123528,7.641010284,3123528,2023,4
1555,2023-04-09,ID_3123528,7.428422451,3123528,2023,4
1556,2023-04-10,ID_3123528,4.925961494,3123528,2023,4
1557,2023-04-11,ID_3123528,5.909938812,3123528,2023,4
1558,2023-04-12,ID_3123528,7.683527946,3123528,2023,4
1559,2023-04-13,ID_3123528,8.218033791,3123528,2023,4
1560,2023-04-14,ID_3123528,6.906064034,3123528,2023,4
1561,2023-04-15,ID_3123528,5.490837097,3123528,2023,4
1562,2023-04-16,ID_3123528,5.278249741,3123528,2023,4
1563,2023-04-17,ID_3123528,6.262227058,3123528,2023,4
1564,2023-04-18,ID_3123528,7.203687191,3123528,2023,4
1565,2023-04-19,ID_3123528,9.870144844,3123528,2023,4
1566,2023-04-20,ID_3123528,8.32129097,3123528,2023,4
1567,2023-04-21,ID_3123528,6.450519085,3123528,2023,4
1568,2023-04-22,ID_3123528,6.802807331,3123528,2023,4
1569,2023-04-23,ID_3123528,6.845324993,3123528,2023,4
1570,2023-04-24,ID_3123528,5.114253521,3123528,2023,4
1571,2023-04-25,ID_3123528,5.010996342,3123528,2023,4
1572,2023-04-26,ID_3123528,7.713897705,3123528,2023,4
1573,2023-04-27,ID_3123528,8.32129097,3123528,2023,4
1574,2023-04-28,ID_3123528,9.220232964,3123528,2023,4
1575,2023-04-29,ID_3123528,5.332914829,3123528,2023,4
1576,2023-04-30,ID_3123528,9.220232964,3123528,2023,4
1577,2023-05-01,ID_3123528,10.99989605,3123528,2023,5
1578,2023-05-02,ID_3123528,9.1594944,3123528,2023,5
1579,2023-05-03,ID_3123528,7.227982521,3123528,2023,5
1580,2023-05-04,ID_3123528,8.375956535,3123528,2023,5
1581,2023-05-05,ID_3123528,10.93915749,3123528,2023,5
1582,2023-05-06,ID_3123528,8.169442177,3123528,2023,5
1583,2023-05-07,ID_3123528,6.347261906,3123528,2023,5
1584,2023-05-08,ID_3123528,7.962928772,3123528,2023,5
1585,2023-05-09,ID_3123528,9.12305069,3123528,2023,5
1586,2023-05-10,ID_3123528,14.35878277,3123528,2023,5
1587,2023-05-11,ID_3123528,14.23122978,3123528,2023,5
1588,2023-05-12,ID_3123528,11.08493137,3123528,2023,5
1589,2023-05-13,ID_3123528,12.85244656,3123528,2023,5
1590,2023-05-14,ID_3123528,10.17384148,3123528,2023,5
1591,2023-05-15,ID_3123528,11.09100533,3123528,2023,5
1592,2023-05-16,ID_3123528,8.746466637,3123528,2023,5
1593,2023-05-17,ID_3123528,7.313017845,3123528,2023,5
1594,2023-05-18,ID_3123528,7.434496403,3123528,2023,5
1595,2023-05-19,ID_3123528,5.934234619,3123528,2023,5
1596,2023-05-20,ID_3123528,4.683003902,3123528,2023,5
1597,2023-05-21,ID_3123528,7.136873722,3123528,2023,5
1598,2023-05-22,ID_3123528,7.410200596,3123528,2023,5
1599,2023-05-23,ID_3123528,8.643209457,3123528,2023,5
1600,2023-05-24,ID_3123528,7.677453995,3123528,2023,5
1601,2023-05-25,ID_3123528,6.310818672,3123528,2023,5
1602,2023-05-26,ID_3123528,6.426223278,3123528,2023,5
1603,2023-05-27,ID_3123528,6.918211937,3123528,2023,5
1604,2023-05-28,ID_3123528,6.72991991,3123528,2023,5
1605,2023-05-29,ID_3123528,12.02031708,3123528,2023,5
1606,2023-05-30,ID_3123528,7.616714478,3123528,2023,5
1607,2023-05-31,ID_3123528,9.864070892,3123528,2023,5
1608,2023-06-01,ID_3123528,9.663630486,3123528,2023,6
1609,2023-06-02,ID_3123528,6.778511524,3123528,2023,6
1610,2023-06-03,ID_3123528,5.217510223,3123528,2023,6
1611,2023-06-04,ID_3123528,7.112577915,3123528,2023,6
1612,2023-06-05,ID_3123528,7.470940113,3123528,2023,6
1613,2023-06-06,ID_3123528,11.08493137,3123528,2023,6
1614,2023-06-07,ID_3123528,12.88889027,3123528,2023,6
1615,2023-06-08,ID_3123528,10.05236244,3123528,2023,6
1616,2023-06-09,ID_3123528,9.044089317,3123528,2023,6
1617,2023-06-10,ID_3123528,8.054038048,3123528,2023,6
1618,2023-06-11,ID_3123528,7.853598118,3123528,2023,6
1619,2023-06-12,ID_3123528,8.849723816,3123528,2023,6
1620,2023-06-13,ID_3123528,9.742591858,3123528,2023,6
1621,2023-06-14,ID_3123528,7.750340939,3123528,2023,6
1622,2023-06-15,ID_3123528,8.278773308,3123528,2023,6
1623,2023-06-16,ID_3123528,8.406326294,3123528,2023,6
1624,2023-06-17,ID_3123528,11.04848766,3123528,2023,6
1625,2023-06-18,ID_3123528,7.817154408,3123528,2023,6
1626,2023-06-19,ID_3123528,8.776836395,3123528,2023,6
1627,2023-06-20,ID_3123528,7.003247261,3123528,2023,6
1628,2023-06-21,ID_3123528,9.60896492,3123528,2023,6
1629,2023-06-22,ID_3123528,5.594094276,3123528,2023,6
1630,2023-06-23,ID_3123528,5.86742115,3123528,2023,6
1631,2023-06-24,ID_3123528,9.97340107,3123528,2023,6
1632,2023-06-25,ID_3123528,9.82155323,3123528,2023,6
1633,2023-06-26,ID_3123528,8.673579216,3123528,2023,6
1634,2023-06-27,ID_3123528,6.89391613,3123528,2023,6
1635,2023-06-28,ID_3123528,5.843125343,3123528,2023,6
